title,link
Electric Vehicle Population Data,https://catalog.data.gov/dataset/electric-vehicle-population-data
Crime Data from 2020 to Present,https://catalog.data.gov/dataset/crime-data-from-2020-to-present
National Death Index,https://catalog.data.gov/dataset/national-death-index
Supply Chain Greenhouse Gas Emission Factors v1.3 by NAICS-6,https://catalog.data.gov/dataset/supply-chain-greenhouse-gas-emission-factors-v1-3-by-naics-6
Harmonized Tariff Schedule of the United States (2025),https://catalog.data.gov/dataset/harmonized-tariff-schedule-of-the-united-states-2024
Dynamic Small Business Search (DSBS),https://catalog.data.gov/dataset/dynamic-small-business-search-dsbs-4f0da
Fruit and Vegetable Prices,https://catalog.data.gov/dataset/fruit-and-vegetable-prices
National Obesity By State,https://catalog.data.gov/dataset/national-obesity-by-state-d765a
Air Quality,https://catalog.data.gov/dataset/air-quality
Motor Vehicle Collisions - Crashes,https://catalog.data.gov/dataset/motor-vehicle-collisions-crashes
Warehouse and Retail Sales,https://catalog.data.gov/dataset/warehouse-and-retail-sales
"Nutrition, Physical Activity, and Obesity - Behavioral Risk Factor Surveillance System",https://catalog.data.gov/dataset/nutrition-physical-activity-and-obesity-behavioral-risk-factor-surveillance-system
U.S. Chronic Disease Indicators,https://catalog.data.gov/dataset/u-s-chronic-disease-indicators
Border Crossing Entry Data,https://catalog.data.gov/dataset/border-crossing-entry-data-683ae
National Student Loan Data System,https://catalog.data.gov/dataset/national-student-loan-data-system-722b0
Lottery Powerball Winning Numbers: Beginning 2010,https://catalog.data.gov/dataset/lottery-powerball-winning-numbers-beginning-2010
2011-12 Gifted and Talented Enrollment Estimations,https://catalog.data.gov/dataset/2011-12-gifted-and-talented-enrollment-estimations-615ac
"Death rates for suicide, by sex, race, Hispanic origin, and age: United States",https://catalog.data.gov/dataset/death-rates-for-suicide-by-sex-race-hispanic-origin-and-age-united-states-020c1
Walkability Index,https://catalog.data.gov/dataset/walkability-index8
Inventory of Owned and Leased Properties (IOLP),https://catalog.data.gov/dataset/inventory-of-owned-and-leased-properties-iolp
FDIC Failed Bank List,https://catalog.data.gov/dataset/fdic-failed-bank-list
Real Estate Sales 2001-2022 GL,https://catalog.data.gov/dataset/real-estate-sales-2001-2018
Water Quality Data,https://catalog.data.gov/dataset/water-quality-data-41c5e
Supply Chain Greenhouse Gas Emission Factors v1.2 by NAICS-6,https://catalog.data.gov/dataset/supply-chain-greenhouse-gas-emission-factors-v1-2-by-naics-6
"Collection
            
Civil Rights Data Collection (CRDC) for the 2017-18 school year",https://catalog.data.gov/dataset/civil-rights-data-collection-crdc-for-the-2017-18-school-year
"NNDSS - TABLE 1CC. Rabies, Animal to Rabies, Human",https://catalog.data.gov/dataset/nndss-table-1cc-rabies-animal-to-rabies-human-b7453
National Database for Autism Research (NDAR),https://catalog.data.gov/dataset/national-database-for-autism-research-ndar
